idx,u,v,has_edge,nvic_with,nvic_without,l1_with,l1_without,l1_with_minus_without,status_with,status_without,cache_l1,recompute_vs_cache_l1
2574,1616,2609,1,4,2,0.34394096841619226,0.0,0.34394096841619226,ok,disconnected,0.34394096841725597,1.06374457853331e-12
3753,6967,7191,1,33,31,8.57312328375737,0.0,8.57312328375737,ok,ok,8.57312328355537,2.0200052741614627e-10
3936,4894,7164,1,7,5,1.158998164405152,0.0,1.158998164405152,ok,ok,1.158998164413798,8.646142829471515e-12
4774,766,5795,1,5,3,0.6875397154576596,0.0,0.6875397154576596,ok,ok,0.6875397154703651,1.2705472091090186e-11
5095,3873,4647,1,3,-1,0.23303247133719596,0.0,0.23303247133719596,ok,exc:IndexError,0.23303247133719596,0.0
5266,2263,3418,1,9,7,1.6612114827840758,0.0,1.6612114827840758,ok,ok,1.6612114827839917,2.1874446698433303e-11
5557,197,5232,1,3,-1,0.23303247133719596,0.0,0.23303247133719596,ok,exc:IndexError,0.23303247133719596,0.0
5828,108,3227,1,10,8,1.7203961564091663,0.0,1.7203961564091663,ok,disconnected,1.7203961564536672,6.818037801004095e-11
7825,1421,3138,1,11,9,2.2048091810229766,0.0,2.2048091810229766,ok,ok,2.4852988040011152,0.2804896229781383
7827,2030,6484,1,11,9,2.1666727772193566,0.0,2.1666727772193566,ok,ok,0.0,2.1666727772193566
7897,3381,6864,1,3,-1,0.23303247133719596,0.0,0.23303247133719596,ok,exc:IndexError,0.23303247133719596,0.0
8624,5096,6543,1,12,10,2.539420719528925,0.0,2.539420719528925,ok,ok,2.539420719723933,1.9500781545112034e-10
8708,2352,4663,1,7,5,1.159902515275991,0.0,1.159902515275991,ok,ok,1.1599025152737545,3.2103382452408624e-12
8780,1837,7301,1,71,69,23.6313418360415,0.0,23.6313418360415,ok,ok,23.631341833271506,2.7699932347857725e-09
8847,4690,4841,1,13,11,2.590325138614235,0.0,2.590325138614235,ok,disconnected,2.5903251387530597,1.3882453520075444e-10
10766,196,2653,1,4,2,0.44063701878467015,0.0,0.44063701878467015,ok,ok,0.44063701879863026,1.3960058803386133e-11
11004,56,5024,1,5,3,0.5752975509891931,0.0,0.5752975509891931,ok,disconnected,0.5752975510305264,4.133322156762986e-11
11651,6357,6502,1,6,4,0.7938271928567913,0.0,0.7938271928567913,ok,disconnected,0.79382719285586,9.311891535634942e-13
12195,581,932,1,26,24,5.698252508888325,0.0,5.698252508888325,ok,disconnected,5.698252508306856,5.81468817539843e-10
15462,1979,4617,1,3,-1,0.23303247133719596,0.0,0.23303247133719596,ok,exc:IndexError,0.23303247133719596,0.0
15605,803,6105,1,8,6,1.3948822985366411,0.0,1.3948822985366411,ok,ok,1.394882298819912,2.8327066387001665e-10
15613,4143,5019,1,8,6,1.423437270006228,0.0,1.423437270006228,ok,ok,1.4234372697286086,2.776194135689636e-10
15616,169,5160,1,12,10,2.448457343066169,0.0,2.448457343066169,ok,ok,2.448457342879886,1.8628329434555724e-10
17578,2704,7116,1,9,7,1.6414446643832914,0.0,1.6414446643832914,ok,ok,1.6414446644941805,1.108890063106216e-10
18322,429,548,1,9,7,1.2184928525808896,0.0,1.2184928525808896,ok,disconnected,1.2184928526,1.911055341752288e-11
18450,1886,2020,1,4,2,0.4516042335404499,0.0,0.4516042335404499,ok,ok,0.4516042335269718,1.3478055477245121e-11
18950,5662,7368,1,13,11,2.626204486607441,0.0,2.626204486607441,ok,ok,2.6262044867581213,2.2781319886089335e-10
19967,4983,5799,1,20,18,4.730966571555655,0.0,4.730966571555655,ok,ok,6.43907810530757,1.7081115337519148
20122,5213,7106,1,7,5,1.1289680646463185,0.0,1.1289680646463185,ok,ok,1.128968064676417,3.050081021083173e-11
20739,381,462,1,4,2,0.3477244281194396,0.0,0.3477244281194396,ok,disconnected,0.34772442814684107,2.7401445695796056e-11
20931,3330,4253,1,9,7,1.6251561516975979,0.0,1.6251561516975979,ok,ok,1.6251561517256454,2.8047321409818693e-11
21946,1899,7477,1,61,59,17.217926812649072,0.0,17.217926812649072,ok,ok,22.733107716399033,5.515180903749961
23088,1794,1990,1,5,3,0.5576767827981025,0.0,0.5576767827981025,ok,disconnected,0.5576767829141673,1.1606470819158776e-10
23874,1011,3506,1,5,3,0.6923020674065705,0.0,0.6923020674065705,ok,ok,0.6923020674379564,3.1385897353297665e-11
24028,484,1165,1,4,2,0.45869789686983764,0.0,0.45869789686983764,ok,ok,0.45869789684466866,2.5168861786384333e-11
25123,1057,3396,1,3,-1,0.23303247133719596,0.0,0.23303247133719596,ok,exc:IndexError,0.23303247133719596,0.0
25261,3431,6937,1,3,-1,0.23303247133719596,0.0,0.23303247133719596,ok,exc:IndexError,0.23303247133719596,0.0
25358,2619,7132,1,17,15,3.765034807084586,0.0,3.765034807084586,ok,ok,3.765034807064368,4.477386517098836e-11
26340,2293,3746,1,7,5,1.0235635017058793,0.0,1.0235635017058793,ok,disconnected,1.023563501577184,1.286953807411173e-10
26364,258,4586,1,5,3,0.6967682531963867,0.0,0.6967682531963867,ok,ok,0.6967682531752041,2.580991323442028e-11
26802,1558,5491,1,6,4,0.9340800102667801,0.0,0.9340800102667801,ok,ok,0.934080010228363,4.008044937608979e-11
27359,1079,1772,1,23,21,5.3511984820321254,0.0,5.3511984820321254,ok,ok,5.351198482050701,4.0854347682639514e-11
28004,71,5722,1,26,24,6.397254476888215,0.0,6.397254476888215,ok,ok,6.964882008424693,0.5676275315364776
28094,4843,5642,1,17,15,3.703168386855288,0.0,3.703168386855288,ok,disconnected,3.7031683867930534,6.22350643242342e-11
28294,4025,5746,1,3,-1,0.23303247133719596,0.0,0.23303247133719596,ok,exc:IndexError,0.23303247133719596,0.0
28864,2882,4164,1,24,22,5.615541065386448,0.0,5.615541065386448,ok,ok,8.540874723688436,2.9253336583019878
29060,2573,4241,1,17,15,3.6928001894451086,0.0,3.6928001894451086,ok,ok,3.692800189554737,1.0962841745509877e-10
29855,3376,3563,1,12,10,2.4171378648664636,0.0,2.4171378648664636,ok,ok,2.4171378651984865,3.320229091663407e-10
29938,6569,6630,1,24,22,5.553731743737913,0.0,5.553731743737913,ok,ok,5.553731743599443,1.884237210703077e-10
30046,28,4805,1,62,60,14.877918732050976,0.0,14.877918732050976,ok,ok,16.96554000919167,2.0876212771406912
30107,672,5312,1,3,-1,0.23303247133719596,0.0,0.23303247133719596,ok,exc:IndexError,0.23303247133719596,0.0
30868,1018,4641,1,26,24,6.644986567204106,0.0,6.644986567204106,ok,ok,7.499586610535937,0.8546000433318313
