dataset,variant,q,trial,auc
Cora,PI,0.0,0,0.9220535125968121
Cora,no-PI,0.0,0,0.9190145789600654
Cora,PI,0.0,1,0.9198787307051118
Cora,no-PI,0.0,1,0.921387395626672
Cora,PI,0.0,2,0.9144201721822353
Cora,no-PI,0.0,2,0.9213081817167094
Cora,PI,0.0,3,0.9151547011655247
Cora,no-PI,0.0,3,0.9189785726373552
Cora,PI,0.0,4,0.918686921423402
Cora,no-PI,0.0,4,0.9190505852827756
Cora,PI,0.0,5,0.9280125590053613
Cora,no-PI,0.0,5,0.9208004925664947
Cora,PI,0.0,6,0.92218673599084
Cora,no-PI,0.0,6,0.9208887080571349
Cora,PI,0.0,7,0.9254849151511007
Cora,no-PI,0.0,7,0.9193386358644577
Cora,PI,0.0,8,0.9202964040485508
Cora,no-PI,0.0,8,0.9145786000021603
Cora,PI,0.0,9,0.9183736664158226
Cora,no-PI,0.0,9,0.91440216902088
Cora,PI,0.0,10,0.9249628234718017
Cora,no-PI,0.0,10,0.916281699066356
Cora,PI,0.0,11,0.9319084431226123
Cora,no-PI,0.0,11,0.9309506749385192
Cora,PI,0.0,12,0.9180424082468881
Cora,no-PI,0.0,12,0.9223847707657464
Cora,PI,0.0,13,0.9263166612057077
Cora,no-PI,0.0,13,0.9237206053382974
Cora,PI,0.0,14,0.9246459678319513
Cora,no-PI,0.0,14,0.9243291121921009
Cora,PI,0.0,15,0.9197923155306071
Cora,no-PI,0.0,15,0.9178731785301499
Cora,PI,0.0,16,0.9240554641395028
Cora,no-PI,0.0,16,0.9249268171490913
Cora,PI,0.0,17,0.9047488739022572
Cora,no-PI,0.0,17,0.9173114798958697
Cora,PI,0.0,18,0.9238646306291385
Cora,no-PI,0.0,18,0.9230364852068023
Cora,PI,0.0,19,0.9124146200072731
Cora,no-PI,0.0,19,0.9150862891523752
Cora,PI,0.25,0,0.9164509287830944
Cora,no-PI,0.25,0,0.916659765454814
Cora,PI,0.25,1,0.9191982112058876
Cora,no-PI,0.25,1,0.9225756042761107
Cora,PI,0.25,2,0.9110571816410963
Cora,no-PI,0.25,2,0.9161592775691412
Cora,PI,0.25,3,0.9190649878118597
Cora,no-PI,0.25,3,0.9183736664158227
Cora,PI,0.25,4,0.9234829636084096
Cora,no-PI,0.25,4,0.9161664788336832
Cora,PI,0.25,5,0.9182368423895236
Cora,no-PI,0.25,5,0.9139628918838147
Cora,PI,0.25,6,0.913163551519647
Cora,no-PI,0.25,6,0.9164437275185522
Cora,PI,0.25,7,0.9197815136337941
Cora,no-PI,0.25,7,0.9159144345747113
Cora,PI,0.25,8,0.9137504545798241
Cora,no-PI,0.25,8,0.9275156717519596
Cora,PI,0.25,9,0.9264894915547169
Cora,no-PI,0.25,9,0.9245667539219887
Cora,PI,0.25,10,0.9253516917570727
Cora,no-PI,0.25,10,0.9218698803509895
Cora,PI,0.25,11,0.9084215188187045
Cora,no-PI,0.25,11,0.9153635378372441
Cora,PI,0.25,12,0.9227376327283071
Cora,no-PI,0.25,12,0.9249700247363437
Cora,PI,0.25,13,0.9248620057682129
Cora,no-PI,0.25,13,0.9220283081709149
Cora,PI,0.25,14,0.9203756179585134
Cora,no-PI,0.25,14,0.9180928170986826
Cora,PI,0.25,15,0.9207500837147004
Cora,no-PI,0.25,15,0.9188813555660373
Cora,PI,0.25,16,0.9164041205635709
Cora,no-PI,0.25,16,0.917084640062795
Cora,PI,0.25,17,0.9139340868256467
Cora,no-PI,0.25,17,0.9095233122936387
Cora,PI,0.25,18,0.9185212923389346
Cora,no-PI,0.25,18,0.910635907665386
Cora,PI,0.25,19,0.920980524180046
Cora,no-PI,0.25,19,0.9240158571845217
Cora,PI,0.5,0,0.920310806577635
Cora,no-PI,0.5,0,0.9232309193494378
Cora,PI,0.5,1,0.9113992417068437
Cora,no-PI,0.5,1,0.9124362238008994
Cora,PI,0.5,2,0.9133075768104879
Cora,no-PI,0.5,2,0.9198067180596912
Cora,PI,0.5,3,0.9088427927944147
Cora,no-PI,0.5,3,0.9161160699818888
Cora,PI,0.5,4,0.9176931469165984
Cora,no-PI,0.5,4,0.9170918413273371
Cora,PI,0.5,5,0.9064195672760137
Cora,no-PI,0.5,5,0.9117953112566567
Cora,PI,0.5,6,0.9094873059709285
Cora,no-PI,0.5,6,0.9163645136085897
Cora,PI,0.5,7,0.9151474999009825
Cora,no-PI,0.5,7,0.9155903776703189
Cora,PI,0.5,8,0.9298884884185662
Cora,no-PI,0.5,8,0.9122165852323668
Cora,PI,0.5,9,0.914938663229263
Cora,no-PI,0.5,9,0.9147298265575435
Cora,PI,0.5,10,0.9165301426930568
