dataset,variant,p,auc_mean,auc_std,n
Cora,PI,0.0,0.9207,0.0053,20
Cora,PI,5.0,0.9172,0.0047,20
Cora,PI,10.0,0.9129,0.0061,20
Cora,PI,20.0,0.9071,0.0056,20
Cora,no-PI,0.0,0.9208,0.0049,20
Cora,no-PI,5.0,0.9178,0.0045,20
Cora,no-PI,10.0,0.9126,0.0055,20
Cora,no-PI,20.0,0.9057,0.0067,20
Cora,GDC-PI,0.0,0.9197,0.0058,20
Cora,GDC-PI,5.0,0.9182,0.0058,20
Cora,GDC-PI,10.0,0.9154,0.0062,20
Cora,GDC-PI,20.0,0.9080,0.0062,20
Chameleon,PI,0.0,0.9718,0.0032,10
Chameleon,PI,5.0,0.9776,0.0028,10
Chameleon,PI,10.0,0.9796,0.0027,10
Chameleon,PI,20.0,0.9827,0.0051,10
Chameleon,no-PI,0.0,0.9841,0.0039,10
Chameleon,no-PI,5.0,0.9836,0.0036,10
Chameleon,no-PI,10.0,0.9851,0.0036,10
Chameleon,no-PI,20.0,0.9817,0.0049,10
Chameleon,GDC-PI,0.0,0.9818,0.0019,10
Chameleon,GDC-PI,5.0,0.9812,0.0018,10
Chameleon,GDC-PI,10.0,0.9794,0.0017,10
Chameleon,GDC-PI,20.0,0.9807,0.0049,10
