dataset,variant,p,graph_seed,init_seed,auc
Chameleon,PI,0.0,0,0,0.9732878222039261
Chameleon,PI,0.0,0,1,0.9740860767710098
Chameleon,PI,0.0,0,2,0.9740756940423599
Chameleon,PI,0.0,0,3,0.9728078869030135
Chameleon,PI,0.0,0,4,0.9718876226124282
Chameleon,PI,0.0,0,5,0.9663867010313038
Chameleon,PI,0.0,0,6,0.9707894844534591
Chameleon,PI,0.0,0,7,0.9764668617741764
Chameleon,PI,0.0,0,8,0.9722051821667469
Chameleon,PI,0.0,0,9,0.965751480627753
Chameleon,no-PI,0.0,0,0,0.9836990147246338
Chameleon,no-PI,0.0,0,1,0.9851460125662418
Chameleon,no-PI,0.0,0,2,0.9846127961407449
Chameleon,no-PI,0.0,0,3,0.9831780549836895
Chameleon,no-PI,0.0,0,4,0.991139328722659
Chameleon,no-PI,0.0,0,5,0.9822900024756478
Chameleon,no-PI,0.0,0,6,0.9755550049614248
Chameleon,no-PI,0.0,0,7,0.9878761130791587
Chameleon,no-PI,0.0,0,8,0.9816988453595383
Chameleon,no-PI,0.0,0,9,0.9860721519618191
Chameleon,GDC-PI,0.0,0,0,0.9811301250668041
Chameleon,GDC-PI,0.0,0,1,0.9820973395498698
Chameleon,GDC-PI,0.0,0,2,0.9800403437382117
Chameleon,GDC-PI,0.0,0,3,0.9805826767059381
Chameleon,GDC-PI,0.0,0,4,0.9810468100003201
Chameleon,GDC-PI,0.0,0,5,0.9825757554270778
Chameleon,GDC-PI,0.0,0,6,0.9794785621470633
Chameleon,GDC-PI,0.0,0,7,0.9834470942743658
Chameleon,GDC-PI,0.0,0,8,0.9811565123918119
Chameleon,GDC-PI,0.0,0,9,0.9865490484153221
Chameleon,PI,5.0,0,0,0.9766048760940358
Chameleon,PI,5.0,0,1,0.9779868932485319
Chameleon,PI,5.0,0,2,0.9801752685632046
Chameleon,PI,5.0,0,3,0.9795624343355722
Chameleon,PI,5.0,0,4,0.9758874548680513
Chameleon,PI,5.0,0,5,0.9712843101066798
Chameleon,PI,5.0,0,6,0.9770194255281821
Chameleon,PI,5.0,0,7,0.9780546595457692
Chameleon,PI,5.0,0,8,0.982436880100452
Chameleon,PI,5.0,0,9,0.9765723097792945
Chameleon,no-PI,5.0,0,0,0.9920478934507166
Chameleon,no-PI,5.0,0,1,0.9834712531112735
Chameleon,no-PI,5.0,0,2,0.9847198648644816
Chameleon,no-PI,5.0,0,3,0.9825663350001075
Chameleon,no-PI,5.0,0,4,0.980947844869676
Chameleon,no-PI,5.0,0,5,0.9822570816287088
Chameleon,no-PI,5.0,0,6,0.9788845687733714
Chameleon,no-PI,5.0,0,7,0.9796360757378015
