dataset,variant,p,graph_seed,init_seed,auc
Texas,PI,0.0,0,0,0.6456599286563615
Texas,PI,0.0,0,1,0.6611177170035671
Texas,PI,0.0,0,2,0.6278240190249702
Texas,PI,0.0,0,3,0.6373365041617122
Texas,PI,0.0,0,4,0.46611177170035667
Texas,PI,0.0,0,5,0.617717003567182
Texas,PI,0.0,0,6,0.5802615933412605
Texas,PI,0.0,0,7,0.5975029726516052
Texas,PI,0.0,0,8,0.5992865636147443
Texas,PI,0.0,0,9,0.5862068965517242
Texas,no-PI,0.0,0,0,0.5642092746730083
Texas,no-PI,0.0,0,1,0.6706302021403092
Texas,no-PI,0.0,0,2,0.6611177170035673
Texas,no-PI,0.0,0,3,0.6183115338882282
Texas,no-PI,0.0,0,4,0.4958382877526754
Texas,no-PI,0.0,0,5,0.6617122473246135
Texas,no-PI,0.0,0,6,0.5261593341260404
Texas,no-PI,0.0,0,7,0.5160523186682521
Texas,no-PI,0.0,0,8,0.609988109393579
Texas,no-PI,0.0,0,9,0.6397146254458977
Texas,GDC-PI,0.0,0,0,0.5933412604042806
Texas,GDC-PI,0.0,0,1,0.7395957193816884
Texas,GDC-PI,0.0,0,2,0.5862068965517242
Texas,GDC-PI,0.0,0,3,0.6801426872770511
Texas,GDC-PI,0.0,0,4,0.5992865636147443
Texas,GDC-PI,0.0,0,5,0.7455410225921523
Texas,GDC-PI,0.0,0,6,0.609988109393579
Texas,GDC-PI,0.0,0,7,0.6028537455410226
Texas,GDC-PI,0.0,0,8,0.5511296076099881
Texas,GDC-PI,0.0,0,9,0.6230677764565993
Texas,PI,0.0,1,1000,0.7003567181926278
Texas,PI,0.0,1,1001,0.4530321046373365
Texas,PI,0.0,1,1002,0.6587395957193817
Texas,PI,0.0,1,1003,0.5124851367419738
Texas,PI,0.0,1,1004,0.5980975029726516
Texas,PI,0.0,1,1005,0.5612366230677764
Texas,PI,0.0,1,1006,0.5184304399524375
Texas,PI,0.0,1,1007,0.5612366230677764
Texas,PI,0.0,1,1008,0.629013079667063
Texas,PI,0.0,1,1009,0.558858501783591
Texas,no-PI,0.0,1,1000,0.5350772889417361
Texas,no-PI,0.0,1,1001,0.5225921521997623
Texas,no-PI,0.0,1,1002,0.6420927467300832
Texas,no-PI,0.0,1,1003,0.6147443519619501
Texas,no-PI,0.0,1,1004,0.6409036860879904
Texas,no-PI,0.0,1,1005,0.5457788347205708
Texas,no-PI,0.0,1,1006,0.5422116527942925
Texas,no-PI,0.0,1,1007,0.4720570749108205
Texas,no-PI,0.0,1,1008,0.558858501783591
Texas,no-PI,0.0,1,1009,0.5909631391200951
Texas,GDC-PI,0.0,1,1000,0.6539833531510107
Texas,GDC-PI,0.0,1,1001,0.6718192627824019
Texas,GDC-PI,0.0,1,1002,0.5101070154577884
Texas,GDC-PI,0.0,1,1003,0.6599286563614745
Texas,GDC-PI,0.0,1,1004,0.6944114149821641
Texas,GDC-PI,0.0,1,1005,0.6230677764565993
Texas,GDC-PI,0.0,1,1006,0.5208085612366231
Texas,GDC-PI,0.0,1,1007,0.6468489892984541
Texas,GDC-PI,0.0,1,1008,0.6486325802615933
Texas,GDC-PI,0.0,1,1009,0.6141498216409037
Texas,PI,0.0,2,2000,0.7348394768133175
Texas,PI,0.0,2,2001,0.5802615933412605
Texas,PI,0.0,2,2002,0.5743162901307967
Texas,PI,0.0,2,2003,0.5612366230677766
Texas,PI,0.0,2,2004,0.6831153388822829
Texas,PI,0.0,2,2005,0.5921521997621878
Texas,PI,0.0,2,2006,0.535077288941736
Texas,PI,0.0,2,2007,0.5802615933412604
Texas,PI,0.0,2,2008,0.5790725326991676
Texas,PI,0.0,2,2009,0.5005945303210464
Texas,no-PI,0.0,2,2000,0.702140309155767
Texas,no-PI,0.0,2,2001,0.6218787158145065
Texas,no-PI,0.0,2,2002,0.6195005945303211
Texas,no-PI,0.0,2,2003,0.5208085612366231
Texas,no-PI,0.0,2,2004,0.619500594530321
Texas,no-PI,0.0,2,2005,0.6391200951248514
Texas,no-PI,0.0,2,2006,0.5600475624256838
Texas,no-PI,0.0,2,2007,0.5659928656361475
Texas,no-PI,0.0,2,2008,0.6741973840665874
Texas,no-PI,0.0,2,2009,0.5778834720570749
Texas,GDC-PI,0.0,2,2000,0.7544589774078478
Texas,GDC-PI,0.0,2,2001,0.6016646848989298
Texas,GDC-PI,0.0,2,2002,0.6248513674197385
Texas,GDC-PI,0.0,2,2003,0.6944114149821641
Texas,GDC-PI,0.0,2,2004,0.6052318668252081
Texas,GDC-PI,0.0,2,2005,0.6991676575505351
Texas,GDC-PI,0.0,2,2006,0.5980975029726515
Texas,GDC-PI,0.0,2,2007,0.5041617122473245
Texas,GDC-PI,0.0,2,2008,0.6373365041617123
Texas,GDC-PI,0.0,2,2009,0.6492271105826397
Texas,PI,5.0,0,0,0.5850178359096313
Texas,PI,5.0,0,1,0.6016646848989298
Texas,PI,5.0,0,2,0.46373365041617126
Texas,PI,5.0,0,3,0.633769322235434
Texas,PI,5.0,0,4,0.43281807372175984
Texas,PI,5.0,0,5,0.6932223543400714
Texas,PI,5.0,0,6,0.6492271105826397
Texas,PI,5.0,0,7,0.5303210463733651
Texas,PI,5.0,0,8,0.5648038049940547
Texas,PI,5.0,0,9,0.617717003567182
Texas,no-PI,5.0,0,0,0.5445897740784779
Texas,no-PI,5.0,0,1,0.5731272294887039
Texas,no-PI,5.0,0,2,0.55410225921522
Texas,no-PI,5.0,0,3,0.5992865636147443
Texas,no-PI,5.0,0,4,0.4589774078478003
Texas,no-PI,5.0,0,5,0.6325802615933414
Texas,no-PI,5.0,0,6,0.4839476813317479
Texas,no-PI,5.0,0,7,0.5671819262782403
Texas,no-PI,5.0,0,8,0.5445897740784781
Texas,no-PI,5.0,0,9,0.5380499405469679
Texas,GDC-PI,5.0,0,0,0.6266349583828775
Texas,GDC-PI,5.0,0,1,0.6302021403091558
Texas,GDC-PI,5.0,0,2,0.6218787158145065
Texas,GDC-PI,5.0,0,3,0.703923900118906
Texas,GDC-PI,5.0,0,4,0.4922711058263971
Texas,GDC-PI,5.0,0,5,0.6694411414982164
Texas,GDC-PI,5.0,0,6,0.5612366230677764
Texas,GDC-PI,5.0,0,7,0.6634958382877527
Texas,GDC-PI,5.0,0,8,0.5124851367419738
Texas,GDC-PI,5.0,0,9,0.49583828775267536
Texas,PI,5.0,1,1000,0.48513674197384066
Texas,PI,5.0,1,1001,0.5731272294887039
Texas,PI,5.0,1,1002,0.6171224732461356
Texas,PI,5.0,1,1003,0.5326991676575505
Texas,PI,5.0,1,1004,0.49227110582639716
Texas,PI,5.0,1,1005,0.5136741973840666
Texas,PI,5.0,1,1006,0.6706302021403092
Texas,PI,5.0,1,1007,0.5790725326991676
Texas,PI,5.0,1,1008,0.6409036860879905
Texas,PI,5.0,1,1009,0.5457788347205708
Texas,no-PI,5.0,1,1000,0.5303210463733651
Texas,no-PI,5.0,1,1001,0.5570749108204518
Texas,no-PI,5.0,1,1002,0.5659928656361475
Texas,no-PI,5.0,1,1003,0.5576694411414982
Texas,no-PI,5.0,1,1004,0.582639714625446
Texas,no-PI,5.0,1,1005,0.6652794292508918
Texas,no-PI,5.0,1,1006,0.7098692033293698
Texas,no-PI,5.0,1,1007,0.5600475624256838
Texas,no-PI,5.0,1,1008,0.6016646848989299
Texas,no-PI,5.0,1,1009,0.6539833531510107
Texas,GDC-PI,5.0,1,1000,0.5790725326991677
Texas,GDC-PI,5.0,1,1001,0.6801426872770511
Texas,GDC-PI,5.0,1,1002,0.6468489892984542
Texas,GDC-PI,5.0,1,1003,0.6884661117717004
Texas,GDC-PI,5.0,1,1004,0.6872770511296076
Texas,GDC-PI,5.0,1,1005,0.6551724137931034
Texas,GDC-PI,5.0,1,1006,0.6884661117717004
Texas,GDC-PI,5.0,1,1007,0.6848989298454221
Texas,GDC-PI,5.0,1,1008,0.5743162901307967
Texas,GDC-PI,5.0,1,1009,0.6801426872770511
Texas,PI,5.0,2,2000,0.5998810939357908
Texas,PI,5.0,2,2001,0.5648038049940547
Texas,PI,5.0,2,2002,0.5184304399524376
Texas,PI,5.0,2,2003,0.5671819262782402
Texas,PI,5.0,2,2004,0.558858501783591
Texas,PI,5.0,2,2005,0.5814506539833532
Texas,PI,5.0,2,2006,0.5089179548156956
Texas,PI,5.0,2,2007,0.5677764565992864
Texas,PI,5.0,2,2008,0.5398335315101069
Texas,PI,5.0,2,2009,0.5338882282996433
Texas,no-PI,5.0,2,2000,0.6397146254458977
Texas,no-PI,5.0,2,2001,0.5814506539833533
Texas,no-PI,5.0,2,2002,0.5814506539833532
Texas,no-PI,5.0,2,2003,0.5505350772889418
Texas,no-PI,5.0,2,2004,0.703923900118906
