density,heterophily,tag,mean_auc,std_auc,n_trials
0.05,0.1,sbmNoPI,0.488086,0.019417654601008884,50
0.05,0.1,sbmPDGNN,0.484612,0.020121454079805326,50
0.05,0.1,sbmTLCGNN,0.482636,0.03198089838050973,50
0.05,0.3,sbmNoPI,0.489328,0.02200592721639016,50
0.05,0.3,sbmPDGNN,0.493584,0.020574308925334572,50
0.05,0.3,sbmTLCGNN,0.495576,0.023175229210939677,50
0.05,0.5,sbmNoPI,0.492552,0.0209159956365789,50
0.05,0.5,sbmPDGNN,0.4923,0.015620656130879512,50
0.05,0.5,sbmTLCGNN,0.494024,0.0199733450950439,50
0.05,0.7,sbmNoPI,0.477468,0.013455405408008991,50
0.05,0.7,sbmPDGNN,0.476914,0.013685908289707545,50
0.05,0.7,sbmTLCGNN,0.478864,0.009913292663316836,50
0.05,0.9,sbmNoPI,0.489656,0.014022666199654713,50
0.05,0.9,sbmPDGNN,0.49227,0.01754883855683554,50
0.05,0.9,sbmTLCGNN,0.488298,0.0197677792874967,50
0.1,0.1,sbmNoPI,0.55754,0.028845160171268293,50
0.1,0.1,sbmPDGNN,0.535694,0.03170061745358874,50
0.1,0.1,sbmTLCGNN,0.544086,0.030906092193835787,50
0.1,0.3,sbmNoPI,0.500604,0.01413432585399596,50
0.1,0.3,sbmPDGNN,0.500738,0.013361181818680434,50
0.1,0.3,sbmTLCGNN,0.49882,0.014265600125433747,50
0.1,0.5,sbmNoPI,0.494676,0.008311206106142208,50
0.1,0.5,sbmPDGNN,0.49349,0.010433174131058083,50
0.1,0.5,sbmTLCGNN,0.491066,0.007848530604709464,50
0.1,0.7,sbmNoPI,0.501242,0.014896994492110125,50
0.1,0.7,sbmPDGNN,0.50394,0.01292760059496182,50
0.1,0.7,sbmTLCGNN,0.499918,0.014945242775968983,50
0.1,0.9,sbmNoPI,0.493448,0.010715661625939513,50
0.1,0.9,sbmPDGNN,0.494924,0.011639281834918039,50
0.1,0.9,sbmTLCGNN,0.495452,0.011012298134544015,50
0.15,0.3333,sbmSmoke,0.474,0.0,1
0.15,0.3333,sbmSmokePI,0.5077,0.0,1
0.2,0.1,sbmNoPI,0.73084,0.008890627947795509,50
0.2,0.1,sbmPDGNN,0.700824,0.008620491960013249,50
0.2,0.1,sbmTLCGNN,0.702624,0.009915964452357028,50
0.2,0.3,sbmNoPI,0.519766,0.009565405567641624,50
0.2,0.3,sbmPDGNN,0.518178,0.011088572716899099,50
0.2,0.3,sbmTLCGNN,0.51974,0.010156108044533835,50
0.2,0.5,sbmNoPI,0.506064,0.008171072919333253,50
0.2,0.5,sbmPDGNN,0.503208,0.011499952794934173,50
0.2,0.5,sbmTLCGNN,0.503964,0.010004585887257415,50
0.2,0.7,sbmNoPI,0.49958400000000003,0.008548859811789678,50
0.2,0.7,sbmPDGNN,0.499848,0.01005781734751225,50
0.2,0.7,sbmTLCGNN,0.500974,0.00787291430106011,50
0.2,0.9,sbmNoPI,0.496022,0.00719762687648236,50
0.2,0.9,sbmPDGNN,0.497648,0.008537414415264094,50
0.2,0.9,sbmTLCGNN,0.496312,0.007536053208356727,50
0.3,0.1,sbmNoPI,0.771958,0.003993468647270766,50
0.3,0.1,sbmPDGNN,0.744898,0.011150500858156782,50
0.3,0.1,sbmTLCGNN,0.745276,0.009705701248992464,50
0.3,0.3,sbmNoPI,0.49832,0.010104191896314669,50
0.3,0.3,sbmPDGNN,0.499522,0.009222782129275402,50
0.3,0.3,sbmTLCGNN,0.499242,0.010571121424109426,50
0.3,0.5,sbmNoPI,0.49862,0.00660256598232993,50
0.3,0.5,sbmPDGNN,0.495998,0.008456237644605364,50
0.3,0.5,sbmTLCGNN,0.497276,0.008890548983301863,50
0.3,0.7,sbmNoPI,0.500658,0.007370074349582056,50
0.3,0.7,sbmPDGNN,0.500124,0.007317230434015986,50
0.3,0.7,sbmTLCGNN,0.500912,0.006092070456665751,50
0.3,0.9,sbmNoPI,0.493716,0.009492840696535249,50
0.3,0.9,sbmPDGNN,0.489572,0.01287826899256643,50
0.3,0.9,sbmTLCGNN,0.488972,0.00952487698779638,50
0.5,0.1,sbmNoPI,0.773122,0.002705496295336889,50
0.5,0.1,sbmPDGNN,0.769186,0.005391717381923003,50
0.5,0.1,sbmTLCGNN,0.771048,0.00420273186178238,50
0.5,0.3,sbmNoPI,0.54341,0.010809845285758755,50
0.5,0.3,sbmPDGNN,0.525942,0.010391737102140336,50
0.5,0.3,sbmTLCGNN,0.52657,0.00908872928411888,50
0.5,0.5,sbmNoPI,0.496478,0.0057013886600600335,50
0.5,0.5,sbmPDGNN,0.495676,0.007027339032489537,50
0.5,0.5,sbmTLCGNN,0.49675199999999997,0.0056860459343331775,50
0.5,0.7,sbmNoPI,0.49808399999999997,0.005611517310907289,50
0.5,0.7,sbmPDGNN,0.50122,0.005955789500261793,50
0.5,0.7,sbmTLCGNN,0.501188,0.006071601342079606,50
0.5,0.9,sbmNoPI,0.507134,0.06128705496369073,50
0.5,0.9,sbmPDGNN,0.463232,0.026884525858051598,50
0.5,0.9,sbmTLCGNN,0.466632,0.031169493458331646,50
